,Job Title,Company,Experience,Salary,Requirements,Link
136,Product manager,ТОО AVIATA.KZ,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107603835?hhtmFrom=vacancy_search_list
137,Специалист технической поддержки,ТОО RIMAKS(РИМАКС),Без опыта,320 000 – 430 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/107899174?hhtmFrom=vacancy_search_list
138,Бизнес аналитик/дата аналитик,АО Bereke Bank,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/107621403?hhtmFrom=vacancy_search_list
139,Специалист операционной поддержки,АО Сәтті Жұлдыз,Без опыта,230 000 – 230 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/108357492?hhtmFrom=vacancy_search_list
140,"QA-engineer (manual, junior/middle)",АО Народный банк Казахстана,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108453572?hhtmFrom=vacancy_search_list
141,Начальник IT отдела,ТОО BP Contact,Опыт 3-6 лет,600 000 – 800 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108199170?hhtmFrom=vacancy_search_list
142,Преподаватель информатики,ИП Jastime,Опыт 1-3 года,85 000 – 200 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108616921?hhtmFrom=vacancy_search_list
143,Технический Специалист,ТОО F-Service,Опыт 1-3 года,250 000 – 400 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108832717?hhtmFrom=vacancy_search_list
144,QA Engineer,АО Страховая компания Freedom Insurance,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108276293?hhtmFrom=vacancy_search_list
145,Middle QA,"Казтелепорт, АО",Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107483953?hhtmFrom=vacancy_search_list
146,QA engineer (manual),ТОО Halyk Finservice,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/106031573?hhtmFrom=vacancy_search_list
147,Support Associate (Сотрудник службы поддержки),ТОО Wolt TechnologiesKazakhstan (Вольт Технолоджис Казахстан),Без опыта,175 000 – 260 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/98448202?hhtmFrom=vacancy_search_list
148,Backend GO Developer,ТОО PingOcean (ПингОушен),Опыт 1-3 года,от 500 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108382759?hhtmFrom=vacancy_search_list
